index;text;aspect;sentiment
680;"This is one product I do NOT recommend to Mac owners, or PC owners for that matter, as it failed after only 1-year's light use, right after the OEM 1-year warranty had expired. I called SanDisk about it, and they simply said ""you're SOL on this, since there's no warranty after 1-year."" It failed during the 9th month, but I just kept putting off calling SanDisk about it and waited too long. What happened? The ""docking system"" failed, that's what, ie the card reader fits into a ""dock"" with a Mini-USB connector for the car";stand;Sentiment.negative
683;"I use this in conjunction with the SanDisk Ultra II 2.0 GB compact flash card.

I like it, but the flash card doesn't slide in easily. Sometimes it get stuck halfway, as if the unit has not been designed properly and the sliders for the card offer enough give to slide the card to the left or right of the pins.

To add insult to injury, both the reader and flash card are manufactured by SanDisk. Therefore, they SHOULD work seamlessly together, but pathetically, they don't.

I'd much rather pay more for a reader that work";one;Sentiment.negative
683;"I use this in conjunction with the SanDisk Ultra II 2.0 GB compact flash card.

I like it, but the flash card doesn't slide in easily. Sometimes it get stuck halfway, as if the unit has not been designed properly and the sliders for the card offer enough give to slide the card to the left or right of the pins.

To add insult to injury, both the reader and flash card are manufactured by SanDisk. Therefore, they SHOULD work seamlessly together, but pathetically, they don't.

I'd much rather pay more for a reader that work";shape;Sentiment.negative
683;"I use this in conjunction with the SanDisk Ultra II 2.0 GB compact flash card.

I like it, but the flash card doesn't slide in easily. Sometimes it get stuck halfway, as if the unit has not been designed properly and the sliders for the card offer enough give to slide the card to the left or right of the pins.

To add insult to injury, both the reader and flash card are manufactured by SanDisk. Therefore, they SHOULD work seamlessly together, but pathetically, they don't.

I'd much rather pay more for a reader that work";unit;Sentiment.negative
683;"I use this in conjunction with the SanDisk Ultra II 2.0 GB compact flash card.

I like it, but the flash card doesn't slide in easily. Sometimes it get stuck halfway, as if the unit has not been designed properly and the sliders for the card offer enough give to slide the card to the left or right of the pins.

To add insult to injury, both the reader and flash card are manufactured by SanDisk. Therefore, they SHOULD work seamlessly together, but pathetically, they don't.

I'd much rather pay more for a reader that work";side;Sentiment.negative
683;"I use this in conjunction with the SanDisk Ultra II 2.0 GB compact flash card.

I like it, but the flash card doesn't slide in easily. Sometimes it get stuck halfway, as if the unit has not been designed properly and the sliders for the card offer enough give to slide the card to the left or right of the pins.

To add insult to injury, both the reader and flash card are manufactured by SanDisk. Therefore, they SHOULD work seamlessly together, but pathetically, they don't.

I'd much rather pay more for a reader that work";sandisk;Sentiment.negative
683;"I use this in conjunction with the SanDisk Ultra II 2.0 GB compact flash card.

I like it, but the flash card doesn't slide in easily. Sometimes it get stuck halfway, as if the unit has not been designed properly and the sliders for the card offer enough give to slide the card to the left or right of the pins.

To add insult to injury, both the reader and flash card are manufactured by SanDisk. Therefore, they SHOULD work seamlessly together, but pathetically, they don't.

I'd much rather pay more for a reader that work";amber;Sentiment.negative
683;"I use this in conjunction with the SanDisk Ultra II 2.0 GB compact flash card.

I like it, but the flash card doesn't slide in easily. Sometimes it get stuck halfway, as if the unit has not been designed properly and the sliders for the card offer enough give to slide the card to the left or right of the pins.

To add insult to injury, both the reader and flash card are manufactured by SanDisk. Therefore, they SHOULD work seamlessly together, but pathetically, they don't.

I'd much rather pay more for a reader that work";reader;Sentiment.negative
684;"This is a great card reader for the price. Why pay more if this one reads the all cards that you have? Personally, I only use CompactFlash and SD cards. It reads these cards and it does it fast and reliably.

The shape of this card reader is a bit awkward but then again it does help you grab the unit while inserting and removing cards, which you'll want to do a bit carefully. It would be a bit more difficult to do that with the unit lying flat on the desk. Remember to never force the card in and remember the label side ";reader;Sentiment.positive
684;"This is a great card reader for the price. Why pay more if this one reads the all cards that you have? Personally, I only use CompactFlash and SD cards. It reads these cards and it does it fast and reliably.

The shape of this card reader is a bit awkward but then again it does help you grab the unit while inserting and removing cards, which you'll want to do a bit carefully. It would be a bit more difficult to do that with the unit lying flat on the desk. Remember to never force the card in and remember the label side ";sandisk;Sentiment.negative
685;"SanDisk has a new and better multi-card reader available.  I highly suggest that you look at this model:

Sandisk ImageMate 12-in-1 USB 2.0 Hi-speed Reader

(SDDR-89-A15).";reader;Sentiment.positive
686;This reader worked great right out of the box.  It comes with the docking station with attached USB cord and a second 6 inch (approximately) USB cord.  I attached the docking station to my computer and I just slide the reader onto the top of it and I'm ready to go.  I use the short USB cord on the front port of the computer for other small plug & play equipment.  The reader will show up as 4 different drives in the My Computer folder making it easy to view and load the files you want.  It's very light weight and easy to;one;Sentiment.negative
687;"I replaced two old readers with this one because I needed to upgrade to USB 2.0 and I also wanted to get rid of two seperate devices.

This one handles all the flash memory cards I currently have and is very fast.";problem;Sentiment.negative
688;"All you have to do is open My Computer, right click on each one of the drive icons, then select ""Rename"" and call them whatever you want (e.g. xD Card).  Problem SOLVED.";review;Sentiment.neutral
688;"All you have to do is open My Computer, right click on each one of the drive icons, then select ""Rename"" and call them whatever you want (e.g. xD Card).  Problem SOLVED.";computer;Sentiment.neutral
689;"One review of this item says it does not work with XP SP2.

In my case that is incorrect. Took it out of box, plugged it into USB2 slot and XP SP2 recognized it immediately and each slot shows up as a drive in ""My Computer""

Works perfect. Highly recommended.";sp2;Sentiment.negative
689;"One review of this item says it does not work with XP SP2.

In my case that is incorrect. Took it out of box, plugged it into USB2 slot and XP SP2 recognized it immediately and each slot shows up as a drive in ""My Computer""

Works perfect. Highly recommended.";none;Sentiment.negative
689;"One review of this item says it does not work with XP SP2.

In my case that is incorrect. Took it out of box, plugged it into USB2 slot and XP SP2 recognized it immediately and each slot shows up as a drive in ""My Computer""

Works perfect. Highly recommended.";problem;Sentiment.positive
689;"One review of this item says it does not work with XP SP2.

In my case that is incorrect. Took it out of box, plugged it into USB2 slot and XP SP2 recognized it immediately and each slot shows up as a drive in ""My Computer""

Works perfect. Highly recommended.";wasn;Sentiment.negative
689;"One review of this item says it does not work with XP SP2.

In my case that is incorrect. Took it out of box, plugged it into USB2 slot and XP SP2 recognized it immediately and each slot shows up as a drive in ""My Computer""

Works perfect. Highly recommended.";info;Sentiment.negative
690;"If you have Win XP sp2 DO NOT BUY ANY SANDISK READER!!!

I recieved this reader for a Christmas present2 days ago(I opened it early), and I tried to install it on my computer (win XP with service Pack 2).

It refused to install correctly so I emailed SanDisk support and they finally told me that NONE of thier memory card readers will work with sp2. The problem is that the information isn't available anywhere on thier site or in any ad!!!

Now AMAZON wants to charge me for returning this useless reader that I had no way ";rebate;Sentiment.negative
690;"If you have Win XP sp2 DO NOT BUY ANY SANDISK READER!!!

I recieved this reader for a Christmas present2 days ago(I opened it early), and I tried to install it on my computer (win XP with service Pack 2).

It refused to install correctly so I emailed SanDisk support and they finally told me that NONE of thier memory card readers will work with sp2. The problem is that the information isn't available anywhere on thier site or in any ad!!!

Now AMAZON wants to charge me for returning this useless reader that I had no way ";wasn;Sentiment.negative
690;"If you have Win XP sp2 DO NOT BUY ANY SANDISK READER!!!

I recieved this reader for a Christmas present2 days ago(I opened it early), and I tried to install it on my computer (win XP with service Pack 2).

It refused to install correctly so I emailed SanDisk support and they finally told me that NONE of thier memory card readers will work with sp2. The problem is that the information isn't available anywhere on thier site or in any ad!!!

Now AMAZON wants to charge me for returning this useless reader that I had no way ";support;Sentiment.negative
690;"If you have Win XP sp2 DO NOT BUY ANY SANDISK READER!!!

I recieved this reader for a Christmas present2 days ago(I opened it early), and I tried to install it on my computer (win XP with service Pack 2).

It refused to install correctly so I emailed SanDisk support and they finally told me that NONE of thier memory card readers will work with sp2. The problem is that the information isn't available anywhere on thier site or in any ad!!!

Now AMAZON wants to charge me for returning this useless reader that I had no way ";company;Sentiment.negative
691;I bought this product several month ago from Amazon.com.  It came with a $20 rebate.  I filled out the rebate exactly as described.  I was told the rebate would arrive within 12 weeks.  Instead I got a form letter telling me that the rebate wasn't accepted.  When I called to ask why I was hung up on repeatedly.  They never would give me a reason.  Tech support is TERRIBLE.  This company is dishonest.  Avoid at all costs.;haven;Sentiment.negative
692;Worked perfectly for a year, then suddenly stopped.  Shipped back to SanDisk for replacement, but haven't gotten it after a month!!  Just ended up buying another one, since there isn't a better alternative at this point.;pc;Sentiment.negative
692;Worked perfectly for a year, then suddenly stopped.  Shipped back to SanDisk for replacement, but haven't gotten it after a month!!  Just ended up buying another one, since there isn't a better alternative at this point.;issue;Sentiment.positive
692;Worked perfectly for a year, then suddenly stopped.  Shipped back to SanDisk for replacement, but haven't gotten it after a month!!  Just ended up buying another one, since there isn't a better alternative at this point.;price;Sentiment.negative
693;"I have had this particular media card reader for many months now and I can say that after downloading a few thousand pictures through it, I have not encountered a single problem. I own three 3-year old computers; one PC uses Windows ME and the other two use Windows XP Home (service pack 2). I have used this reader  with all 3 PCs and have not had an issue occur. It is well made, durable, easy to use and it reads virtually all popular camera media card formats. Also, the price is much better on it these days than when I ";product;Sentiment.positive
693;"I have had this particular media card reader for many months now and I can say that after downloading a few thousand pictures through it, I have not encountered a single problem. I own three 3-year old computers; one PC uses Windows ME and the other two use Windows XP Home (service pack 2). I have used this reader  with all 3 PCs and have not had an issue occur. It is well made, durable, easy to use and it reads virtually all popular camera media card formats. Also, the price is much better on it these days than when I ";reader;Sentiment.positive
694;"I wanted a card reader that I could take on the road with me and be fast at downloading from my memory cards.  The bonus I got was that this product also looks OK on the desk.

I use it with xD, smart media and CF cards and all have worked flawlessly.  I find downloads are quicker than my old ""internal"" card reader and installation was as easy as it gets for WinXP: simply plug it in and use it!

And if, like me, you get lost with the 4 resulting 'drives' that come up in your file manager and you can never remember which";power;Sentiment.negative
694;"I wanted a card reader that I could take on the road with me and be fast at downloading from my memory cards.  The bonus I got was that this product also looks OK on the desk.

I use it with xD, smart media and CF cards and all have worked flawlessly.  I find downloads are quicker than my old ""internal"" card reader and installation was as easy as it gets for WinXP: simply plug it in and use it!

And if, like me, you get lost with the 4 resulting 'drives' that come up in your file manager and you can never remember which";wouldn;Sentiment.neutral
694;"I wanted a card reader that I could take on the road with me and be fast at downloading from my memory cards.  The bonus I got was that this product also looks OK on the desk.

I use it with xD, smart media and CF cards and all have worked flawlessly.  I find downloads are quicker than my old ""internal"" card reader and installation was as easy as it gets for WinXP: simply plug it in and use it!

And if, like me, you get lost with the 4 resulting 'drives' that come up in your file manager and you can never remember which";sandisk;Sentiment.negative
695;I purchsed the reader from Costco about 5 month ago.  I been using Lexar 512M CF and 256M kingston cards. It worked fine most of the time, once in while power LED goes off and had to wiggle the cable to make it work, until last week. The LED wouldn't come on and reader is not recognized, so I retruned to costco and got my money back (good thing it was from Costco).  I als but sandisk 256mb USB2.0 key and that also failed on me.  so far Sandisk makes good POS that has failed 2/2.;support;Sentiment.negative
695;I purchsed the reader from Costco about 5 month ago.  I been using Lexar 512M CF and 256M kingston cards. It worked fine most of the time, once in while power LED goes off and had to wiggle the cable to make it work, until last week. The LED wouldn't come on and reader is not recognized, so I retruned to costco and got my money back (good thing it was from Costco).  I als but sandisk 256mb USB2.0 key and that also failed on me.  so far Sandisk makes good POS that has failed 2/2.;reasons;Sentiment.negative
695;I purchsed the reader from Costco about 5 month ago.  I been using Lexar 512M CF and 256M kingston cards. It worked fine most of the time, once in while power LED goes off and had to wiggle the cable to make it work, until last week. The LED wouldn't come on and reader is not recognized, so I retruned to costco and got my money back (good thing it was from Costco).  I als but sandisk 256mb USB2.0 key and that also failed on me.  so far Sandisk makes good POS that has failed 2/2.;friend;Sentiment.negative
696;It did not work for me...possibly because I have Win. 98 SE. San Disk's tech support spent some time trying to help. Some possible reasons they gave for the problem were: I was using Win. 98SE, using a USB hub, USB problems, fluctuation in electricity. Perhaps a friend may be able to use this card reader.;reader;Sentiment.neutral
696;It did not work for me...possibly because I have Win. 98 SE. San Disk's tech support spent some time trying to help. Some possible reasons they gave for the problem were: I was using Win. 98SE, using a USB hub, USB problems, fluctuation in electricity. Perhaps a friend may be able to use this card reader.;time;Sentiment.negative
696;It did not work for me...possibly because I have Win. 98 SE. San Disk's tech support spent some time trying to help. Some possible reasons they gave for the problem were: I was using Win. 98SE, using a USB hub, USB problems, fluctuation in electricity. Perhaps a friend may be able to use this card reader.;buying;Sentiment.negative
697;This Sandisk Reader freezes my computer everytime I plug in a memory card to download. I thought it might be my computer so I reloaded the drivers and tried again. Same problem ! I thought it might be my ME operating system so I tried it on an XP computer. Same problem ! I called Sandisk and they said they would send me a FEDEX box to return it in. That was 8 days ago and still no return box. They also said it would take 7 -10 after they got it back. It looks like I'm looking at being without a memory card reader for at;model;Sentiment.negative
697;This Sandisk Reader freezes my computer everytime I plug in a memory card to download. I thought it might be my computer so I reloaded the drivers and tried again. Same problem ! I thought it might be my ME operating system so I tried it on an XP computer. Same problem ! I called Sandisk and they said they would send me a FEDEX box to return it in. That was 8 days ago and still no return box. They also said it would take 7 -10 after they got it back. It looks like I'm looking at being without a memory card reader for at;models;Sentiment.negative
697;This Sandisk Reader freezes my computer everytime I plug in a memory card to download. I thought it might be my computer so I reloaded the drivers and tried again. Same problem ! I thought it might be my ME operating system so I tried it on an XP computer. Same problem ! I called Sandisk and they said they would send me a FEDEX box to return it in. That was 8 days ago and still no return box. They also said it would take 7 -10 after they got it back. It looks like I'm looking at being without a memory card reader for at;review;Sentiment.negative
697;This Sandisk Reader freezes my computer everytime I plug in a memory card to download. I thought it might be my computer so I reloaded the drivers and tried again. Same problem ! I thought it might be my ME operating system so I tried it on an XP computer. Same problem ! I called Sandisk and they said they would send me a FEDEX box to return it in. That was 8 days ago and still no return box. They also said it would take 7 -10 after they got it back. It looks like I'm looking at being without a memory card reader for at;drives;Sentiment.negative
697;This Sandisk Reader freezes my computer everytime I plug in a memory card to download. I thought it might be my computer so I reloaded the drivers and tried again. Same problem ! I thought it might be my ME operating system so I tried it on an XP computer. Same problem ! I called Sandisk and they said they would send me a FEDEX box to return it in. That was 8 days ago and still no return box. They also said it would take 7 -10 after they got it back. It looks like I'm looking at being without a memory card reader for at;cards;Sentiment.negative
697;This Sandisk Reader freezes my computer everytime I plug in a memory card to download. I thought it might be my computer so I reloaded the drivers and tried again. Same problem ! I thought it might be my ME operating system so I tried it on an XP computer. Same problem ! I called Sandisk and they said they would send me a FEDEX box to return it in. That was 8 days ago and still no return box. They also said it would take 7 -10 after they got it back. It looks like I'm looking at being without a memory card reader for at;reader;Sentiment.negative
